ZipCode,WaterUse,PowerUse,Date
90001,21.52,329,2005
90001,22.42,340,2005
90001,21.66,312,2005
90001,19.63,316,2005
90001,18.03,343,2005
90001,18.7,367,2005
90001,19.61,362,2006
90001,17.17,325,2006
90001,18.82,344,2006
90001,18.25,322,2006
90001,20.3,331,2006
90001,20.33,320,2006
90001,22.22,359,2006
90001,23.11,374,2006
90001,20.94,325,2006
90001,20.64,320,2006
90001,19.1,355,2006
90001,19.3,381,2006
90001,19.43,378,2007
90001,17.37,339,2007
90001,20.05,342,2007
90001,20.49,312,2007
90001,22.93,321,2007
90001,22.5,310,2007
90001,22.12,358,2007
90001,22.05,377,2007
90001,19.93,317,2007
90001,19.47,313,2007
90001,18.01,360,2007
90001,18.13,390,2007
90001,17.86,378,2008
90001,15.93,348,2008
90001,18.8,345,2008
90001,18.95,318,2008
90001,17.17,325,2008
90001,14.92,312,2008
90001,20.61,355,2008
90001,20.06,371,2008
90001,19.07,328,2008
90001,18.79,325,2008
90001,17,353,2008
90001,16.96,377,2008
90001,17.05,362,2009
90001,15.08,318,2009
90001,17.73,329,2009
90001,17.75,300,2009
90001,16.34,312,2009
90001,14.62,303,2009
90001,18.95,346,2009
90001,19.24,360,2009
90001,17.93,326,2009
90001,17.53,326,2009
90001,14.29,351,2009
90001,14.08,379,2009
90001,13.69,377,2010
90001,12.37,339,2010
90001,13.96,333,2010
90001,13.62,297,2010
90001,14.07,305,2010
90001,13.56,294,2010
90001,15.25,319,2010
90001,15.73,329,2010
90001,14.53,310,2010
90001,15.15,316,2010
90001,14.03,352,2010
90001,13.53,382,2010
90001,13.82,371,2011
90001,12.6,328,2011
90001,13.96,333,2011
90001,13.97,307,2011
90001,14.83,313,2011
90001,14.81,300,2011
90001,16.12,322,2011
90001,16.55,328,2011
90001,15.29,307,2011
90001,15.26,313,2011
90001,14.65,353,2011
90001,14.42,382,2011
90001,14.25,362,2012
90001,13.88,328,2012
90001,15.38,332,2012
90001,15.08,310,2012
90001,16.56,311,2012
90001,16.21,297,2012
90001,11.43,344,2012
90001,11.77,360,2012
90001,10.4,334,2012
90001,10.44,340,2012
90001,9.01,363,2012
90001,9.01,386,2013
90001,9.03,379,2013
90001,8.14,340,2013
90001,9.44,332,2013
90001,9.32,294,2013
90001,10.58,315,2013
90001,10.59,309,2013
90002,24.27,353,2005
90002,24.7,369,2005
90002,22.55,346,2005
90002,21.32,346,2005
90002,19.11,356,2005
90002,18.46,384,2005
90002,18.18,382,2006
90002,16.54,340,2006
90002,18.13,364,2006
90002,17.62,336,2006
90002,20.71,358,2006
90002,22.7,357,2006
90002,24.08,380,2006
90002,24.71,396,2006
90002,22.09,358,2006
90002,21.08,347,2006
90002,19.13,372,2006
90002,18.43,421,2006
90002,18.45,413,2007
